step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T11:05:16,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-19T11:05:16,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-19T11:05:16,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-19T11:05:16,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-19T11:05:16,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-19T11:05:16,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-19T11:05:16,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-19T11:05:16,0.73,-1.78,-1.12,0.0,0.01,init_random
9,2025-12-19T11:05:16,0.88,0.4,0.42,0.4124107807475179,0.01,GF
10,2025-12-19T11:05:16,-0.31,-0.09,0.26,0.07710334109086552,0.01,GF
11,2025-12-19T11:05:16,0.76,0.93,0.02,0.1105982843107155,0.01,GF
12,2025-12-19T11:05:16,0.71,0.11,-0.46,0.33692701898826294,0.01,GF
13,2025-12-19T11:05:16,0.66,0.22,0.26,0.7071111486896345,0.01,GF
14,2025-12-19T11:05:16,0.63,0.28,0.21,0.736020164158587,0.01,GF
15,2025-12-19T11:05:16,0.53,0.15,0.9400000000000001,0.41249035330350786,0.01,GF
16,2025-12-19T11:05:16,0.53,0.14,-0.35000000000000003,0.4492685204649219,0.01,GF
17,2025-12-19T11:05:16,0.51,0.16,0.85,0.4612674392754215,0.01,GF
18,2025-12-19T11:05:16,0.41000000000000003,0.12,0.23,0.7564485865630352,0.01,GF
