step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-18T15:15:00,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,0.0,0.01,init_random
2,2025-12-18T15:15:00,-1.2625127572053212,-1.2963763956598786,1.2483780266230946,0.013860307518639281,0.01,init_random
3,2025-12-18T15:15:00,1.6933799921082255,-0.893702408811575,1.2790182463720083,0.012437752819060144,0.01,init_random
4,2025-12-18T15:15:00,1.5595707724447436,0.05188182091812754,-1.020141595724814,0.0,0.01,init_random
5,2025-12-18T15:15:00,1.2969663843896453,-1.144948146499618,0.9658682089388386,0.03066547412360775,0.01,init_random
6,2025-12-18T15:15:00,0.5197608183587232,1.7096290341006681,-1.0723672455743247,0.015903515369406172,0.01,init_random
7,2025-12-18T15:15:00,1.1965005144803316,0.0726601474108568,-1.07377750073173,0.0,0.01,init_random
8,2025-12-18T15:15:00,-1.3363840270370217,-0.00884412600882456,0.3308985624612797,0.0,0.01,init_random
9,2025-12-18T15:15:00,-2.0,2.0,2.0,0.0,0.01,GF
10,2025-12-18T15:15:01,0.8633177242949919,-1.6974605011242958,-0.4940882021123678,0.0,0.01,GF+jitter
11,2025-12-18T15:15:01,1.2389633578297632,0.3395878821945577,1.208851391290359,0.030589661949602238,0.01,GF+jitter
12,2025-12-18T15:15:01,2.0,2.0,2.0,0.010186916402115874,0.01,GF
13,2025-12-18T15:15:01,-1.162205277032255,1.7613832953829438,1.7561941691280696,0.0,0.01,GF+jitter
14,2025-12-18T15:15:01,-1.7511930099095152,0.16027535551513994,-1.0842982028773194,0.00851105611758721,0.01,GF+jitter
15,2025-12-18T15:15:01,1.4426479172486024,-0.866037575007061,-1.6096021316900644,6.692735625401181e-05,0.01,GF+jitter
16,2025-12-18T15:15:01,2.0,-2.0,2.0,0.0,0.01,GF
17,2025-12-18T15:15:01,0.13530916040572238,0.8843949664921453,0.07341532348789803,0.023888247984568033,0.01,GF+jitter
18,2025-12-18T15:15:02,-0.27610902421190797,-0.25765831486635227,-0.20309340155130728,0.0032023849327911386,0.01,GF+jitter
19,2025-12-18T15:15:02,-0.3673356281538256,1.2963344298859867,0.9160699791474407,0.005471706949780108,0.01,GF+jitter
20,2025-12-18T15:15:02,1.9550746540363808,0.9024707012757083,-1.5507308461704405,0.0,0.01,GF+jitter
21,2025-12-18T15:15:02,1.2950064873433669,-0.17839743169955602,-1.515367257538589,0.0,0.01,GF+jitter
22,2025-12-18T15:15:02,-0.6543071870329769,0.7808085001405947,-0.8111658114754468,0.0007265012836614177,0.01,GF+jitter
23,2025-12-18T15:15:02,-1.3238883277695166,0.04187596918673764,-1.510923126370184,0.000981998733761157,0.01,GF+jitter
24,2025-12-18T15:15:02,-0.0987515245993058,-0.7503385396944879,-0.5856160380635838,0.01766257451224548,0.01,GF+jitter
25,2025-12-18T15:15:02,-2.0,-2.0,2.0,0.0,0.01,GF
26,2025-12-18T15:15:02,1.2472684921976689,1.948373859136507,1.9842797673620747,0.0,0.01,GF+jitter
27,2025-12-18T15:15:03,-0.22957857113455704,-1.9637329542579636,-0.31027610235657344,0.0,0.01,GF+jitter
28,2025-12-18T15:15:03,-0.5604761575762689,1.5900650472413451,-0.425184048184152,0.008033022881961057,0.01,GF+jitter
29,2025-12-18T15:15:03,-0.3167936464714627,-0.26951756810626604,-0.5858499559423076,0.0209376451824158,0.01,GF+jitter
30,2025-12-18T15:15:03,1.2437730610448816,1.7175383586103878,-1.9265949932313973,0.0,0.01,GF+jitter
31,2025-12-18T15:15:03,-0.5291699089833486,1.523707705130235,1.5765940596540338,0.0025974089728350263,0.01,GF+jitter
32,2025-12-18T15:15:03,-2.0,1.1400682568660154,2.0,0.002555639989504993,0.01,GF
33,2025-12-18T15:15:03,-1.4911048845201589,1.6618118584138726,-0.840638092826278,0.006463864198536762,0.01,GF+jitter
34,2025-12-18T15:15:03,-1.1921399951824578,1.3480321223902352,0.559527625722473,0.011202586993293006,0.01,GF+jitter
35,2025-12-18T15:15:03,1.5357156305167514,1.1172822444867965,1.2949406822794463,0.0031681491557073783,0.01,GF+jitter
36,2025-12-18T15:15:04,1.9293535868323302,0.5913289912720772,0.1721113143290136,0.00039326297585331744,0.01,GF+jitter
37,2025-12-18T15:15:04,0.6914971146989961,-1.058790305337432,-1.4348593040223028,0.0,0.01,GF+jitter
38,2025-12-18T15:15:04,-1.6478275753913563,0.8882529008829065,0.012194206524174245,0.0062107045378426195,0.01,GF+jitter
39,2025-12-18T15:15:04,-2.0,2.0,0.7664407328340539,0.012446997982209981,0.01,GF
40,2025-12-18T15:15:04,-2.0,-2.0,0.49715904984080594,0.0032621469882623626,0.01,GF
