step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T02:50:15,0.0,0.0,0.0,0.30202771872101375,0.01,init_structured
2,2025-12-19T02:50:15,0.5,0.0,0.0,0.7054738773756881,0.01,init_structured
3,2025-12-19T02:50:15,-0.5,0.0,0.0,0.03524286677689125,0.01,init_structured
4,2025-12-19T02:50:15,0.0,0.5,0.0,0.2427507999483858,0.01,init_structured
5,2025-12-19T02:50:15,0.0,-0.5,0.0,0.09796496733424144,0.01,init_structured
6,2025-12-19T02:50:15,0.0,0.0,0.5,0.34680255067581534,0.01,init_structured
7,2025-12-19T02:50:15,0.0,0.0,-0.5,0.13744221009968405,0.01,init_structured
8,2025-12-19T02:50:15,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,3.105386336346366e-07,0.01,init_random
9,2025-12-19T02:50:15,1.5486559263083048,0.18231995726149494,0.6155182080192253,0.021646562901621105,0.01,GF
10,2025-12-19T02:50:15,0.4326113881333677,0.11613788872008236,-0.46093524329614327,0.3481729846346651,0.01,GF
11,2025-12-19T02:50:15,0.6475518821589594,0.16770794807017034,1.5732493844568667,0.0667424967849478,0.01,GF
12,2025-12-19T02:50:15,0.1324651771111508,0.2484450639076521,0.30727419646845977,0.557653839408221,0.01,GF
13,2025-12-19T02:50:15,0.9896687240014828,0.25743096184784037,0.31781760916929525,0.3256307299066555,0.01,GF
14,2025-12-19T02:50:15,0.5215213547660561,0.09766340806316186,-0.23586035733674576,0.5753667382879244,0.01,GF
15,2025-12-19T02:50:15,0.49507722682638616,0.621236142883707,0.29931706116782436,0.4345115848402912,0.01,GF
16,2025-12-19T02:50:15,0.4925581695971999,0.14381787787325392,-0.2781127460118942,0.4801604143067922,0.01,GF
17,2025-12-19T02:50:15,0.48616108609479686,0.5914048939856358,0.2987612796243055,0.4086989293174014,0.01,GF
18,2025-12-19T02:50:15,0.4869288097424139,-0.3039783031102966,0.2782234338542351,0.35503155838009937,0.01,GF
19,2025-12-19T02:50:15,0.8936856851625914,0.1566816876712601,0.27019532966969484,0.5010306005841805,0.01,GF
20,2025-12-19T02:50:15,0.4829208335913046,0.15742693553228038,-0.29617332344140496,0.4864676010601439,0.01,GF
21,2025-12-19T02:50:15,0.4860792105763698,0.15799826240312795,0.8470421104048615,0.4770631803150271,0.01,GF
22,2025-12-19T02:50:15,0.48052850280543624,0.15858957523097778,-0.2942083292860391,0.5180079064760151,0.01,GF
23,2025-12-19T02:50:15,0.4817080566862343,0.16048525695883858,0.838618696523173,0.4995289826995676,0.01,GF
24,2025-12-19T02:50:15,0.48489523446575766,-0.2422840644057157,0.27247171223303396,0.5021326752385965,0.01,GF
25,2025-12-19T02:50:15,0.48089136096754065,0.5422037184416992,0.27394670615444877,0.5176665233784894,0.01,GF
26,2025-12-19T02:50:15,0.0801066537541073,0.16031837820772474,0.2706382754385068,0.45226374459594376,0.01,GF
